density[kg.m-2], linear warp[SI*1e9], linear weft[SI*1e9], linear diag[SI*1e9], nonlinear warp[SI*1e12], nonlinear weft[SI*1e12], nonlinear diag[SI*1e12]
0.1287, 4056.0, 2183.7, 4598.7, -2822.1, -10823.1, -7458.5
0.2309, 24100.4, 57904.3, 21758.4, -109885.4, -162728.6, -16596.0
0.2006, 8852.1, 4705.9, 6244.4, -15861.2, -7032.6, -14059.8
0.0471, 1542.8, 892.7, 587.4, -985.8, -1199.3, -1229.3
0.0235, 2360.0, 765.6, 752.6, -3501.2, -540.9, -4144.2
0.3374, 188995.7, 37221.3, 44046.9, -261491.5, -75250.1, -266356.1
0.0762, 2626.7, 1374.4, 1589.5, -7064.4, -2625.2, -4482.1
0.3730, 18747.1, 16635.5, 26650.5, -133257.9, -24486.5, -29660.4
0.0647, 5047.3, 2217.0, 5146.8, -10404.3, -2953.4, -10981.0
0.1834, 61211.1, 24116.1, 23803.5, -238336.9, -166025.9, -193927.8
0.0500, 1752.7, 4437.2, 459.9, -2333.5, -2354.0, -1226.2
0.2006, 8852.1, 4705.9, 6244.4, -15861.2, -7032.6, -14059.8
0.0752, 3095.6, 2780.6, 14530.9, -16976.2, -14509.9, -47644.4
0.1288, 8637.8, 12934.8, 8971.1, -39483.8, -47158.5, -42804.4
0.0647, 5047.3, 2217.0, 5146.8, -10404.3, -2953.4, -10981.0
0.3730, 18747.1, 16635.5, 26650.5, -133257.9, -24486.5, -29660.4
0.2069, 35329.8, 21061.3, 28463.9, -117048.8, -80406.6, -47493.7
0.2314, 4117.4, 1411.4, 3101.8, -14141.2, -3304.6, -4201.8
0.1673, 1645.2, 2577.8, 7880.0, -4204.4, -8130.5, -3661.3
0.2045, 19296.6, 9892.0, 6785.7, -92678.6, -15680.5, -33269.1
0.0235, 2360.0, 765.6, 752.6, -3501.2, -540.9, -4144.2
0.0230, 1245.8, 1051.8, 544.1, -3567.0, -2552.9, -255.2
0.0647, 5047.3, 2217.0, 5146.8, -10404.3, -2953.4, -10981.0
0.2622, 9215.8, 16958.9, 18171.5, -45224.9, -29780.1, -32028.4
0.1858, 811.9, 848.6, 2288.5, -2210.6, -566.9, -1920.7
0.3457, 12135.1, 8690.7, 8907.4, -20767.1, -8405.4, -14617.6
0.0979, 918.9, 318.2, 1465.4, -1437.2, -578.4, -2095.0
0.2354, 16125.7, 1858.9, 9158.0, -65229.2, -5841.2, -36202.1
0.0752, 3095.6, 2780.6, 14530.9, -16976.2, -14509.9, -47644.4
0.2658, 9561.8, 4676.5, 10008.7, -32974.8, -26038.7, -21689.5
0.2078, 13923.2, 18942.6, 14735.1, -57888.3, -55989.1, -33411.4
0.1520, 58086.6, 21280.8, 25839.0, -172954.0, -16987.8, -163215.9
0.1434, 1845.1, 3380.9, 2559.0, -4242.1, -5691.9, -5329.7
0.1858, 811.9, 848.6, 2288.5, -2210.6, -566.9, -1920.7
0.1834, 61211.1, 24116.1, 23803.5, -238336.9, -166025.9, -193927.8
0.1131, 9224.8, 6600.6, 15387.0, -23312.3, -22042.8, -29981.4
0.2314, 4117.4, 1411.4, 3101.8, -14141.2, -3304.6, -4201.8
